trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-195.26313515464548,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-66.28895049973652,"{0: 22, 1: 1, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,8,-22.829098504425886,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,7,-80.42405055676831,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-241.6770591711842,"{0: 14, 1: 4, 2: 6, 3: 3, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-241.6533658168322,"{0: 18, 1: 7, 2: 4, 3: 3, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-107.27903627988506,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-137.6447155789977,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-50.7173884199663,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-113.225706091305,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-143.1207363845985,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-43.60283893102075,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,9,12.271868043882707,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,14,-3.186474052385506,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,6,-46.88463437750965,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,19,0.11494928265767257,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-8.748301139797098,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,16,-3.6633644653059365,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,7,16.46767358333687,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,17,1.8610930610955085,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,11,-50.08804562909055,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,9,16.887663819748433,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,14,10.701575967210395,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,8,27.387919383489358,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,3,-28.617839226739545,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",35,12,33.50480005890033,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,-11.618240197752014,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,11,14.25161399810664,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,7,-21.184530108653107,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",30,4,0.9770527283666912,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
