trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999995000000417}",30,0,-144.2251825921933,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9999980000006666}",20,0,-60.5338888678323,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.999995500003375}",20,2,-184.61227390691764,"{0: 6, 1: 2, 2: 6, 3: 2, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.9999920000106667}",25,0,-182.2420337066211,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9999875000260416}",20,0,-113.48745697989295,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.999982000054}",25,0,-113.4167494746164,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9999755001000415}",20,0,-90.19686505147742,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9999680001706663}",25,0,-121.28455847578844,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9999595002733742}",30,0,-124.16646064576905,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9999500004166653}",20,0,-94.54847382313606,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9999395006100392}",25,0,-214.39995586074647,"{0: 8, 1: 3, 2: 11, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9999280008639958}",25,1,-45.81542492836171,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.9999155011900349}",25,0,-142.77086324211106,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9999020016006562}",25,0,-140.48487310322284,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 3}",0
