trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-122.9679034010205,"{0: 11, 1: 4, 2: 1, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-190.57881422227172,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-52.35501080654058,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-126.91628010291079,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-93.375251158798,"{0: 22, 1: 5, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-117.41102244166235,"{0: 16, 1: 7, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-85.26690715576669,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-100.12500046549991,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-181.56745784926568,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,3,-193.4264231053013,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,2,-173.7454517374274,"{0: 8, 1: 3, 2: 3, 3: 1, 4: 3}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,11,-36.702094255350794,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-149.7198606314792,"{0: 11, 1: 5, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-183.18151395208795,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-128.3977189911306,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-151.710797489498,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-141.12842401878575,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-100.8343125432704,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-73.67865876391961,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-213.12252659365106,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,0,-190.86225361455575,"{0: 6, 1: 3, 2: 8, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-168.52162025307985,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",30,0,-206.59453885148216,"{0: 15, 1: 6, 2: 5, 3: 1, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",25,0,-130.82443972086074,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",30,19,-76.85683482979536,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
6,True,"{'a': 0, 'e': 0}",25,0,-183.08328803137886,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-144.92550891493613,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",20,0,-199.17409692439944,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",20,0,-124.47022304802205,"{0: 6, 1: 3, 2: 10, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-125.5987545171815,"{0: 12, 1: 4, 2: 0, 3: 2, 4: 2}",0
